time_utc;sealevel_m
2025-07-29 00:00:00;2735.233
2025-07-29 00:15:00;2735.177
2025-07-29 00:30:00;2735.109
2025-07-29 00:45:00;2735.035
2025-07-29 01:00:00;2734.946
2025-07-29 01:15:00;2734.854
2025-07-29 01:30:00;2734.753
2025-07-29 01:45:00;2734.651
2025-07-29 02:00:00;2734.547
2025-07-29 02:15:00;2734.44
2025-07-29 02:30:00;2734.339
2025-07-29 02:45:00;2734.24
2025-07-29 03:00:00;2734.146
2025-07-29 03:15:00;2734.057
2025-07-29 03:30:00;2733.978
2025-07-29 03:45:00;2733.907
2025-07-29 04:00:00;2733.846
2025-07-29 04:15:00;2733.8
2025-07-29 04:30:00;2733.764
2025-07-29 04:45:00;2733.744
2025-07-29 05:00:00;2733.733
2025-07-29 05:15:00;2733.737
2025-07-29 05:30:00;2733.755
2025-07-29 05:45:00;2733.786
2025-07-29 06:00:00;2733.827
2025-07-29 06:15:00;2733.879
2025-07-29 06:30:00;2733.941
2025-07-29 06:45:00;2734.013
2025-07-29 07:00:00;2734.09
2025-07-29 07:15:00;2734.173
2025-07-29 07:30:00;2734.263
2025-07-29 07:45:00;2734.356
2025-07-29 08:00:00;2734.448
2025-07-29 08:15:00;2734.54
2025-07-29 08:30:00;2734.631
2025-07-29 08:45:00;2734.718
2025-07-29 09:00:00;2734.799
2025-07-29 09:15:00;2734.876
2025-07-29 09:30:00;2734.945
2025-07-29 09:45:00;2735.007
2025-07-29 10:00:00;2735.058
2025-07-29 10:15:00;2735.099
2025-07-29 10:30:00;2735.126
2025-07-29 10:45:00;2735.14
2025-07-29 11:00:00;2735.147
2025-07-29 11:15:00;2735.139
2025-07-29 11:30:00;2735.114
2025-07-29 11:45:00;2735.075
2025-07-29 12:00:00;2735.02
2025-07-29 12:15:00;2734.959
2025-07-29 12:30:00;2734.878
2025-07-29 12:45:00;2734.793
2025-07-29 13:00:00;2734.694
2025-07-29 13:15:00;2734.592
2025-07-29 13:30:00;2734.482
2025-07-29 13:45:00;2734.365
2025-07-29 14:00:00;2734.247
2025-07-29 14:15:00;2734.132
2025-07-29 14:30:00;2734.018
2025-07-29 14:45:00;2733.907
2025-07-29 15:00:00;2733.802
2025-07-29 15:15:00;2733.704
2025-07-29 15:30:00;2733.614
2025-07-29 15:45:00;2733.533
2025-07-29 16:00:00;2733.463
2025-07-29 16:15:00;2733.405
2025-07-29 16:30:00;2733.361
2025-07-29 16:45:00;2733.33
2025-07-29 17:00:00;2733.31
2025-07-29 17:15:00;2733.306
2025-07-29 17:30:00;2733.316
2025-07-29 17:45:00;2733.345
2025-07-29 18:00:00;2733.385
2025-07-29 18:15:00;2733.44
2025-07-29 18:30:00;2733.508
2025-07-29 18:45:00;2733.588
2025-07-29 19:00:00;2733.676
2025-07-29 19:15:00;2733.774
2025-07-29 19:30:00;2733.881
2025-07-29 19:45:00;2733.994
2025-07-29 20:00:00;2734.114
2025-07-29 20:15:00;2734.232
2025-07-29 20:30:00;2734.352
2025-07-29 20:45:00;2734.474
2025-07-29 21:00:00;2734.591
2025-07-29 21:15:00;2734.703
2025-07-29 21:30:00;2734.81
2025-07-29 21:45:00;2734.906
2025-07-29 22:00:00;2734.998
2025-07-29 22:15:00;2735.077
2025-07-29 22:30:00;2735.147
2025-07-29 22:45:00;2735.204
2025-07-29 23:00:00;2735.249
2025-07-29 23:15:00;2735.282
2025-07-29 23:30:00;2735.302
2025-07-29 23:45:00;2735.307
2025-07-30 00:00:00;2735.297
2025-07-30 00:15:00;2735.272
2025-07-30 00:30:00;2735.239
2025-07-30 00:45:00;2735.189
2025-07-30 01:00:00;2735.13
2025-07-30 01:15:00;2735.056
2025-07-30 01:30:00;2734.98
2025-07-30 01:45:00;2734.893
2025-07-30 02:00:00;2734.798
2025-07-30 02:15:00;2734.703
2025-07-30 02:30:00;2734.6
2025-07-30 02:45:00;2734.498
2025-07-30 03:00:00;2734.394
2025-07-30 03:15:00;2734.29
2025-07-30 03:30:00;2734.199
2025-07-30 03:45:00;2734.108
2025-07-30 04:00:00;2734.022
2025-07-30 04:15:00;2733.947
2025-07-30 04:30:00;2733.881
2025-07-30 04:45:00;2733.825
2025-07-30 05:00:00;2733.776
2025-07-30 05:00:00;2733.775
2025-07-30 05:01:00;2733.773
2025-07-30 05:02:00;2733.77
2025-07-30 05:03:00;2733.767
2025-07-30 05:04:00;2733.763
